PLAYER,ROLEXRANK,SG:TOTAL,SG:TEE TO GREEN,SG:OFF THE TEE,SG:APPROACH,SG:AROUND THE GREEN,SG:PUTTING
Allison EmreyRounds played 54,#378,-1.25,-1.79,-0.61,-1.10,-0.07,0.44
Agathe LaisneRounds played 41,#379,-1.36,-1.48,-0.13,-1.03,-0.31,0.03
Na Yeon ChoiRounds played 44,#388,-1.73,-0.30,-1.51,0.90,0.31,-1.49
Cristie KerrRounds played 33,#394,-0.94,-1.37,-0.68,-0.81,0.12,0.35
Celine HerbinRounds played 33,#398,-0.81,0.22,0.36,-0.45,0.30,-1.12
Becky MorganRounds played 6,#401,0.06,-2.04,-1.25,-0.97,0.18,1.85
Christina KimRounds played 47,#402,-1.37,-0.65,-0.35,-0.69,0.39,-0.78
Cydney ClantonRounds played 52,#403,-1.12,-0.32,0.07,-0.07,-0.31,-0.85
Katherine KirkRounds played 28,#404,-0.95,-0.99,-0.43,-0.79,0.23,-0.02
Pavarisa YoktuanRounds played 8,#413,-2.60,-0.64,-0.15,-1.07,0.58,-1.70
Linnea JohanssonRounds played 59,#416,-0.52,-0.86,-0.12,-0.64,-0.11,0.27
Fatima Fernandez CanoRounds played 34,#419,-2.56,-1.86,-0.55,-0.94,-0.37,-0.78
Ana BelacRounds played 52,#428,-0.98,-0.95,-0.15,-0.83,0.03,-0.11
Ssu-Chia ChengRounds played 7,#432,-0.95,-0.76,-1.42,0.29,0.36,-0.23
Haylee HarfordRounds played 46,#433,-0.75,-0.01,0.06,0.17,-0.23,-0.81
Weiwei ZhangRounds played 24,#434,-1.40,0.22,0.48,-0.25,-0.01,-1.60
Sarah Jane SmithRounds played 31,#437,-1.12,-0.33,-0.24,-0.07,-0.02,-0.84
Jillian HollisRounds played 14,#443,-1.87,-0.82,0.37,-1.03,-0.15,-0.38
Kaitlyn Papp BuddeRounds played 50,#446,-0.81,-1.80,-0.65,-1.21,0.06,0.94
Ayako UeharaRounds played 20,#449,-0.55,-0.63,-0.50,-0.66,0.52,0.03
Luna Sobron GalmesRounds played 15,#450,-1.07,-0.61,-0.34,-0.34,0.07,-0.92
Janie JacksonRounds played 57,#464,-1.20,-0.51,0.09,0.24,-0.83,-0.76
Brianna DoRounds played 30,#465,-1.35,-1.69,-0.61,-0.62,-0.33,0.14
Rachel RohannaRounds played 51,#473,-1.06,-0.71,0.28,-1.02,0.03,-0.41
Casey DanielsonRounds played 43,#506,-1.29,-0.37,0.04,-0.30,-0.11,-0.97
Robynn ReeRounds played 42,#509,-0.89,-0.28,-0.04,-0.14,-0.11,-0.54
Kristen GillmanRounds played 20,#522,-0.81,-1.25,-0.21,-1.40,0.36,0.35
Yu-Sang HouRounds played 30,#531,-1.40,-1.04,0.21,-0.86,-0.39,-0.39
Katherine Perry-HamskiRounds played 49,#533,-1.05,-1.38,-0.12,-0.98,-0.28,0.28
Pannarat ThanapolboonyarasRounds played 12,#540,-1.29,0.53,0.10,-0.46,0.90,-2.34
Jiwon JeonRounds played 16,#556,-1.55,-1.37,-0.02,-1.24,-0.10,0.09
Sarah BurnhamRounds played 2,#557,-0.71,-2.02,-1.94,0.30,-0.38,1.25
Jessica PengRounds played 11,#566,-1.05,0.70,0.12,-0.04,0.63,-1.31
Maddie SzerykRounds played 38,#567,-1.12,-0.82,-0.42,-0.28,-0.12,-0.38
Haru NomuraRounds played 22,#584,-0.29,1.47,-0.40,1.16,0.71,-1.61
Laura DaviesRounds played 8,#587,2.20,-2.42,-1.81,-0.66,0.05,-2.77
Liz NagelRounds played 27,#589,-1.92,-1.93,-0.09,-0.85,-0.99,-0.08
Lauren HartlageRounds played 44,#624,-1.33,-0.29,0.62,-0.72,-0.19,-1.05
Catriona MatthewRounds played 2,#634,-1.62,6.76,-2.45,8.57,0.65,0.28
Lauren KimRounds played 22,#643,-2.19,-2.11,-0.50,-1.29,-0.32,-0.11
Vivian HouRounds played 25,#647,-2.54,-1.20,-0.39,-0.71,-0.11,-1.40
Mariah StackhouseRounds played 24,#658,-1.26,-0.47,-0.46,0.13,-0.14,-0.72
Michelle Wie WestRounds played 6,#740,-3.38,-2.01,-0.50,-1.97,0.47,-1.40
Savannah VilaubiRounds played 34,#742,-2.17,-1.38,-0.38,-0.97,-0.03,-0.84
Jing YanRounds played 16,#748,-2.37,-1.95,-0.30,-1.37,-0.28,-0.68
Karrie WebbRounds played 10,#790,-0.74,-0.67,-0.36,-1.04,0.73,-0.08
Paula CreamerRounds played 14,#814,-1.08,0.06,-0.45,0.38,0.14,-1.09
Brooke MatthewsRounds played 38,#832,-1.27,-1.51,0.55,-2.13,0.08,0.35
Vicky HurstRounds played 10,#843,-1.93,-2.04,-1.10,-0.73,-0.21,0.31
Sydnee MichaelsRounds played 14,#859,-2.82,-2.12,0.04,-1.90,-0.25,-0.51
Kristy McphersonRounds played 10,#862,-3.10,-3.05,-0.70,-1.81,-0.55,-0.26
Haley MooreRounds played 6,#893,-3.13,-3.26,-0.95,-2.96,0.65,-0.02
Min Seo KwakRounds played 8,#898,-4.27,-4.28,-0.66,-2.02,-1.60,0.36
Amelia LewisRounds played 16,#920,-1.93,-2.32,-0.13,-1.77,-0.42,0.30
Youngin ChunRounds played 12,#932,-2.29,-2.25,0.13,-0.85,-1.53,0.07
Mariajo UribeRounds played 20,#940,-2.15,-1.43,-0.22,-0.74,-0.47,-0.84
Cindy LacrosseRounds played 6,#1145,-2.14,-3.38,0.17,-3.31,-0.24,1.14
Sandra GalRounds played 2,#1157,-1.94,-2.19,-0.23,-1.88,-0.08,0.65
Beatriz RecariRounds played 2,#1287,-4.75,-5.50,-2.13,-1.28,-2.10,0.78
Kris TamulisRounds played 6,#1295,-2.05,-2.43,-0.16,-1.55,-0.72,-0.36
Ilhee LeeRounds played 6,#1406,-4.49,-1.10,-0.21,-0.26,-0.70,-0.67
Min Ji ParkRounds played 4,-,0.94,-,-,-,-,-
Kenzie WrightRounds played 2,-,-3.73,-1.71,-0.42,-0.47,-0.82,-2.15
Sarah RheeRounds played 4,-,-0.89,-0.55,-0.16,-0.27,-0.12,-0.40
Sophie WittRounds played 5,-,-0.96,0.26,0.02,0.35,-0.10,-1.16
Diksha DagarRounds played 7,-,-1.44,-,-,-,-,-
Arpichaya YubolRounds played 4,-,-2.29,-1.37,-0.02,-1.69,0.34,-1.26
Kathleen ScavoRounds played 2,-,-1.70,-1.92,-1.33,-0.41,-0.18,0.23
Laura FuenfstueckRounds played 2,-,-5.18,-4.64,0.08,-2.42,-2.31,-0.83
Louise DuncanRounds played 8,-,-0.90,-0.13,0.23,0.24,-0.60,-0.72
Mizuki HashimotoRounds played 4,-,-2.61,-3.21,-0.07,-1.64,-1.50,0.58
Anne-Lise CaudalRounds played 2,-,-2.18,-2.13,-1.17,-0.58,-0.39,-0.19
Ah-Reum HwangRounds played 4,-,0.66,-,-,-,-,-
Lilly ThomasRounds played 2,-,-6.23,-1.90,-1.64,0.42,-0.68,0.47
Ingrid LindbladRounds played 6,-,1.21,0.07,0.48,-0.27,-0.15,1.05
Bailey ShoemakerRounds played 11,-,0.00,-0.69,-0.54,-0.28,0.14,1.41
Megan OslandRounds played 4,-,-5.40,-4.27,-1.25,-3.09,0.07,-1.20
Anna DavisRounds played 24,-,-0.91,-0.93,-0.42,0.24,-0.74,-1.18
Chloe KoveleskyRounds played 2,-,-3.56,-,-,-,-,-
Mariel GaldianoRounds played 2,-,-0.70,-2.74,-0.06,-2.56,-0.12,2.05
Maisie FillerRounds played 3,-,0.23,-,-,-,-,-
Bohyun ParkRounds played 4,-,-0.26,0.55,0.16,0.12,0.27,-0.24
Kennedy SwannRounds played 2,-,-3.56,-2.72,-0.58,-1.01,-1.13,-0.86
MinYoung2 LeeRounds played 4,-,0.15,-,-,-,-,-
Meghan MaclarenRounds played 10,-,-0.21,-0.88,-0.17,-0.58,-0.13,0.58
Mami FukudaRounds played 4,-,-1.34,-,-,-,-,-
Ellie SlamaRounds played 2,-,-0.56,-,-,-,-,-
Leonie HarmRounds played 11,-,0.86,-0.26,-0.42,0.33,-0.17,0.87
Brooke SeayRounds played 4,-,-0.58,-,-,-,-,-
Ami GianchandaniRounds played 2,-,0.30,-0.80,0.80,-1.09,-0.51,1.11
Shoko SasakiRounds played 4,-,-0.10,-,-,-,-,-
Auston KimRounds played 2,-,-0.20,-0.01,0.96,-1.90,0.93,-0.18
Jess BakerRounds played 6,-,-3.09,-,-,-,-,-
Jung Min HongRounds played 2,-,-0.12,-0.24,-0.62,-1.09,1.47,0.19
Olivia MehaffeyRounds played 2,-,-4.18,-7.33,-0.56,-4.77,-2.01,3.01
Allie KnightRounds played 2,-,-9.39,-10.1,-1.70,-6.83,-1.55,0.11
Avery ZweigRounds played 4,-,-8.40,-11.4,-3.84,-6.58,-1.00,-0.00
Lydia HallRounds played 10,-,-1.85,-2.11,-1.29,-0.93,0.10,0.17
Sara ImRounds played 2,-,-0.70,-0.75,0.13,-0.59,-0.29,0.06
Smila SoenderbyRounds played 2,-,-0.70,-1.05,0.01,0.15,-1.22,0.36
Alyaa AbdulghanyRounds played 2,-,-4.20,-2.89,-2.15,-0.34,-0.40,-1.30
Lauren KimRounds played 2,-,-0.70,-0.04,-0.57,1.14,-0.61,-0.65
Wenbo LiuRounds played 2,-,-2.70,-0.77,-1.55,1.37,-0.59,-1.92
Yuri OnishiRounds played 2,-,-2.70,-1.59,-0.21,-0.35,-1.02,-1.10
Hannah BurkeRounds played 2,-,-3.68,-4.00,-1.18,-2.92,0.10,0.43
Taylor CollinsRounds played 2,-,-4.75,-2.80,-0.65,-2.14,-0.01,-1.92
Ashli BunchRounds played 2,-,-4.06,-3.92,-1.10,-2.54,-0.28,-0.36
Lorie KaneRounds played 2,-,-14.5,-,-,-,-,-
Katie CranstonRounds played 2,-,-5.04,-,-,-,-,-
Nika ItoRounds played 2,-,-5.70,-5.20,-1.20,-3.45,-0.55,-0.32
Cloe FrankishRounds played 3,-,-7.82,-,-,-,-,-
Noora KomulainenRounds played 4,-,-3.49,-2.20,0.61,-2.70,-0.11,-1.21
Gianna ClementeRounds played 6,-,-1.58,-,-,-,-,-
Lauren GomezRounds played 2,-,-2.70,-3.05,-1.19,-1.01,-0.85,0.36
Ursula WikstromRounds played 7,-,-1.01,1.95,0.26,1.55,0.14,-1.87
Miyu SatoRounds played 4,-,0.15,-,-,-,-,-
Yuting ShiRounds played 4,-,0.66,-,-,-,-,-
Xiaowen YinRounds played 6,-,-2.34,1.02,0.18,0.89,-0.05,-4.00
Laura SlumanRounds played 4,-,-0.75,-1.05,-1.78,0.04,0.69,0.09
Cara GainerRounds played 4,-,1.74,1.02,1.40,-0.03,-0.34,0.55
Monet ChunRounds played 2,-,-4.04,-,-,-,-,-
Saki BabaRounds played 4,-,0.38,-0.00,0.59,-0.67,0.08,0.38
Annabel DimmockRounds played 4,-,-1.74,-0.50,-0.23,-0.64,0.36,-1.76
Selena CostabileRounds played 2,-,-0.54,-0.59,-0.96,0.20,0.17,-0.30
Karolin LampertRounds played 5,-,-1.76,-5.74,-2.18,-2.45,-1.11,-0.66
Georgia ObohRounds played 2,-,-3.71,-4.06,-0.09,-2.77,-1.20,0.29
Nicole GarciaRounds played 6,-,-1.23,-1.19,-0.03,-0.48,-0.68,-0.31
Kristyna NapoleaovaRounds played 2,-,-6.68,-5.29,-1.10,-3.34,-0.85,-1.54
Rina TatematsuRounds played 4,-,-3.08,-,-1.01,-1.73,-,-
Savannah GrewalRounds played 2,-,-4.54,-1.62,0.23,-1.01,-0.85,-3.27
Serena AokiRounds played 4,-,-1.34,-,-,-,-,-
Catherine ParkRounds played 2,-,-0.20,-1.40,0.86,-0.95,-1.30,1.21
Lucy LiRounds played 26,-,1.15,1.23,-0.01,0.80,0.44,-0.16
Natasha Andrea OonRounds played 10,-,-0.52,-0.41,-0.78,0.27,0.10,-1.32
Emma GrechiRounds played 6,-,-0.42,0.46,-0.56,1.09,-0.07,-0.94
Tiia KoivistoRounds played 10,-,-0.50,0.26,0.08,-0.27,0.45,-1.01
Caley McgintyRounds played 2,-,-2.62,-,-,-,-,-
Kana NagaiRounds played 4,-,2.90,-,-,-,-,-
Rebecca Lee-BenthamRounds played 4,-,-1.23,-1.48,-0.56,-0.72,-0.20,-0.11
Bailey DavisRounds played 2,-,-7.20,-4.57,0.76,-3.82,-1.51,-2.62
Julianne AlvarezRounds played 2,-,-4.20,-3.19,-1.97,-0.22,-1.00,-1.00
Mone InamiRounds played 4,-,0.66,-,-,-,-,-
Britney YadaRounds played 2,-,-0.20,-0.78,-0.36,0.15,-0.58,0.59
Mayu HamadaRounds played 2,-,-0.70,-0.31,-0.09,0.42,-0.65,-0.38
Linda WessbergRounds played 2,-,-4.30,-,-,-,-,-
Chloe WilliamsRounds played 6,-,-1.76,1.00,1.61,-0.46,-0.14,-2.21
Ashley Tait-WengertRounds played 2,-,-3.89,-,-,-,-,-
Juli InksterRounds played 2,-,-5.80,-,-,-,-,-
Lauren ZaretskyRounds played 4,-,-0.98,-,-,-,-,-
Allie WhiteRounds played 2,-,-4.06,-,-,-,-,-
Prima ThammaraksRounds played 4,-,-3.83,-1.35,-0.61,-1.05,0.32,-2.50
Teresa LuRounds played 2,-,-2.44,-,-,-,-,-
Melanie GreenRounds played 2,-,-3.70,0.46,-0.25,0.43,0.28,-4.14
Manon De RoeyRounds played 10,-,-1.71,-2.65,-0.00,-2.57,-0.07,-0.29
Sock Hwee KohRounds played 4,-,-4.74,-3.31,-0.60,-1.96,-0.75,-1.43
Alice HewsonRounds played 8,-,0.52,0.27,-0.51,0.79,-0.00,0.03
Billie-Jo SmithRounds played 2,-,-1.18,-1.34,-0.60,1.08,-1.82,-0.13
Grace KimRounds played 4,-,-0.62,-0.11,-0.18,0.85,-0.78,-0.51
Minsol KimRounds played 6,-,0.29,2.90,0.71,1.93,0.26,-4.10
Hayley DavisRounds played 5,-,-1.49,-0.41,-0.37,-0.34,0.30,-1.32
Marianne SkarpnordRounds played 8,-,-2.05,-1.28,-0.40,-0.62,-0.27,-1.08
Ashley GrierRounds played 2,-,-10.9,-,-,-,-,-
Nozomi UetakeRounds played 4,-,-0.10,-,-,-,-,-
Tvesa MalikRounds played 4,-,-3.49,-2.12,-2.02,-0.41,0.32,-2.13
