Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average SG Putts,SG:OTT,SG:APR,SG:ARG
55.0,58.2,296.0,63.29,28.63,56.68,0.385,0.063,-0.75,-0.126
70.0,58.19,290.6,66.2,29.36,61.28,-0.248,0.18,0.173,0.165
67.0,58.18,301.6,65.91,29.19,57.73,0.203,0.295,-0.356,-0.111
89.0,58.15,280.9,64.39,28.9,58.83,0.125,-0.75,0.089,0.396
92.0,58.05,292.3,67.28,29.09,63.1,0.055,-0.047,0.3989999999999999,0.516
91.0,58.04,299.1,65.77,29.15,57.65,-0.193,0.42,-0.02,-0.016
95.0,57.89,279.6,60.92,28.12,61.5,0.34,-0.899,0.421,0.141
52.0,57.79,291.8,63.89,29.09,60.2,-0.425,-0.001,0.009,0.027
112.0,57.72,298.3,66.13,29.0,56.78,-0.012,0.586,0.349,-0.031
96.0,57.68,306.3,67.74,29.1,56.95,0.402,0.5539999999999999,0.011,-0.086
94.0,57.64,298.1,67.38,28.77,60.99,0.356,0.319,0.41,0.337
95.0,57.61,304.7,65.05,29.35,56.56,-0.303,0.442,0.294,0.106
83.0,57.61,302.9,69.14,28.96,61.25,-0.345,0.508,0.758,0.346
74.0,57.6,277.0,61.79,28.66,59.14,0.3829999999999999,-1.098,-0.431,0.301
98.0,57.58,294.3,65.19,29.13,58.91,0.003,-0.159,-0.072,0.305
106.0,57.53,309.2,68.96,29.26,59.38,-0.133,0.826,0.39,0.065
95.0,57.28,300.8,65.91,29.58,58.15,-0.413,0.3939999999999999,0.172,-0.06
64.0,57.09,302.6,63.1,28.7,63.17,0.17,0.073,-0.4679999999999999,0.503
81.0,57.04,297.6,67.89,29.65,55.51,-0.32,0.049,0.375,-0.084
61.0,56.94,303.1,65.9,30.08,57.83,-1.159,0.5329999999999999,0.555,-0.0579999999999999
77.0,56.76,299.9,64.52,29.2,55.93,-0.375,0.524,0.369,0.071
69.0,56.57,294.4,61.97,28.6,57.75,-0.033,0.051,-0.342,-0.125
98.0,56.54,304.5,65.94,28.87,60.11,-0.017,0.319,0.183,0.258
107.0,56.52,295.3,62.09,28.33,60.92,0.5770000000000001,0.1989999999999999,-0.049,0.25
50.0,56.5,278.5,61.92,28.56,59.88,0.7040000000000001,-1.001,-0.078,0.422
77.0,56.44,314.4,69.61,29.0,62.63,0.019,1.071,0.67,0.121
56.0,56.4,288.3,64.21,29.54,56.42,-0.596,-0.432,0.235,0.075
86.0,56.26,292.6,63.14,28.52,58.64,0.084,-0.13,0.149,0.3989999999999999
58.0,56.19,287.1,65.67,29.25,56.65,0.336,-0.733,-0.578,-0.311
94.0,56.01,308.2,63.95,28.68,53.77,-0.0819999999999999,0.353,-0.032,-0.176
54.0,55.99,285.1,66.06,28.72,60.14,0.019,-0.352,0.235,-0.176
58.0,55.99,306.1,66.87,29.29,59.28,-0.0969999999999999,0.524,0.536,0.043
68.0,55.97,295.7,63.75,28.86,57.92,0.135,-0.258,0.518,-0.123
80.0,55.92,288.4,58.84,29.13,55.13,-0.392,-0.236,-0.447,0.11
73.0,55.75,299.2,67.71,29.06,61.85,0.023,-0.104,-0.089,0.19
75.0,55.67,300.9,66.43,29.45,58.99,-0.113,-0.063,0.585,-0.238
102.0,55.63,311.5,69.1,29.52,56.33,-0.426,0.6,0.4429999999999999,0.074
81.0,55.49,286.5,62.81,28.64,53.78,0.094,-0.456,-0.136,-0.149
85.0,55.05,293.5,62.85,28.25,60.0,0.337,-0.0579999999999999,0.5529999999999999,0.216
51.0,54.97,316.7,65.94,28.65,63.12,-0.304,0.965,0.322,0.095
76.0,54.79,304.8,65.26,29.24,55.18,-0.1369999999999999,0.091,-0.059,-0.073
79.0,54.77,297.2,62.7,28.53,54.74,0.461,-0.3379999999999999,-0.586,-0.061
86.0,54.72,296.9,67.01,29.11,62.63,0.172,0.016,0.223,0.081
52.0,54.48,283.6,56.6,28.52,56.0,0.4579999999999999,-0.565,-0.504,-0.067
51.0,54.45,296.0,63.15,28.84,56.92,0.358,0.031,-0.077,-0.143
76.0,54.37,288.7,61.88,28.31,62.35,0.4,-0.524,0.107,0.235
100.0,54.32,284.9,63.53,28.62,60.1,0.26,-0.638,0.238,0.114
74.0,54.32,289.4,62.09,28.12,62.07,0.4429999999999999,-0.665,-0.148,0.163
93.0,54.15,295.8,68.54,29.11,58.53,0.286,-0.019,0.7929999999999999,-0.05
88.0,54.14,310.5,62.28,28.32,56.2,0.581,0.546,0.0579999999999999,0.019
86.0,54.09,309.3,67.33,28.29,60.54,0.332,0.452,0.738,0.289
71.0,53.73,306.3,63.98,28.22,59.04,0.354,0.311,-0.004,0.273
63.0,53.59,298.4,61.69,28.45,60.5,0.257,-0.023,0.3989999999999999,0.127
86.0,53.27,298.1,65.63,28.46,63.43,0.174,-0.067,0.2019999999999999,0.2289999999999999
63.0,53.26,292.1,62.2,28.41,64.3,0.489,-0.375,-0.312,0.12
88.0,53.26,308.8,66.24,29.0,55.91,-0.057,0.427,-0.195,-0.1689999999999999
91.0,53.09,298.5,65.58,28.74,59.18,0.244,-0.541,0.044,0.439
76.0,52.9,306.3,65.84,29.85,53.63,-0.066,-0.044,-0.529,-0.077
88.0,52.79,300.6,70.64,29.86,57.01,0.242,-0.024,0.047,-0.28
84.0,52.54,293.0,63.52,29.09,54.31,-0.103,-0.7440000000000001,0.29,-0.021
96.0,52.48,309.2,64.71,28.86,59.03,0.261,0.288,-0.168,0.053
85.0,52.46,312.7,64.5,29.06,60.16,0.109,0.4589999999999999,-0.3929999999999999,0.118
61.0,52.25,292.6,62.57,28.49,59.9,0.044,-0.782,0.256,0.31
63.0,51.94,280.2,57.91,28.34,53.91,0.172,-1.123,-0.385,0.052
56.0,51.92,288.8,63.29,28.86,57.84,-0.204,-0.58,-0.3279999999999999,-0.021
92.0,51.89,300.7,66.03,29.15,58.65,-0.019,0.125,0.309,-0.032
83.0,51.13,310.5,67.5,29.55,57.14,-0.149,0.1369999999999999,-0.06,-0.099
84.0,49.8,301.2,63.73,28.71,59.79,0.374,-0.644,0.138,0.1689999999999999
83.0,49.75,306.4,62.19,28.88,56.12,-0.032,0.5329999999999999,0.039,0.1369999999999999
76.0,48.41,297.7,60.16,28.94,48.01,-0.272,-0.7340000000000001,-0.141,-0.306
55.0,45.93,311.3,59.83,29.63,50.27,-0.242,-0.348,-0.424,-0.4029999999999999
59.0,45.37,287.3,53.54,29.2,51.96,-0.15,-1.717,-1.26,0.238
90.0,73.36,269.7,65.25,28.83,61.9,0.384,-0.178,0.257,-0.139
70.0,72.36,290.5,70.2,30.08,56.21,0.006,0.4379999999999999,0.1009999999999999,-0.39
76.0,71.2,278.2,66.67,29.17,64.04,-0.214,0.013,0.427,-0.059
66.0,71.07,277.7,63.3,28.76,62.16,-0.022,-0.1,-0.11,0.14
99.0,69.86,275.3,62.34,28.69,62.73,0.195,-0.068,-0.498,0.001
97.0,69.37,284.2,69.13,29.25,60.11,-0.257,0.217,0.437,0.19
52.0,69.09,280.8,68.27,29.71,57.24,0.067,-0.2339999999999999,0.465,0.2319999999999999
92.0,68.51,285.8,69.73,29.52,61.86,-0.054,0.13,0.357,0.073
86.0,68.3,284.7,66.21,29.07,62.09,-0.209,0.015,0.07,0.073
90.0,68.22,287.3,68.09,29.05,62.75,-0.262,0.262,0.5670000000000001,-0.068
62.0,67.98,269.7,65.5,29.21,61.04,0.132,-0.39,0.36,0.278
104.0,67.79,281.3,66.33,29.0,59.41,0.008,0.043,0.003,0.183
63.0,67.7,281.4,64.44,29.22,58.85,-0.208,-0.129,0.161,-0.003
67.0,67.56,276.3,66.33,28.79,56.16,0.032,-0.259,0.272,-0.265
84.0,67.36,284.8,63.99,28.75,59.57,0.055,0.193,0.1159999999999999,-0.103
83.0,66.98,291.5,67.87,29.42,58.33,-0.225,0.5710000000000001,-0.09,-0.174
93.0,66.93,294.3,68.52,29.67,55.1,-0.0559999999999999,0.446,0.255,-0.1669999999999999
86.0,66.52,283.2,65.78,28.58,60.12,0.351,-0.1119999999999999,0.418,0.237
66.0,66.2,274.7,64.96,29.48,60.36,-0.155,-0.501,-0.061,0.163
73.0,66.18,275.3,65.37,28.84,61.54,0.352,-0.511,0.166,0.171
95.0,65.94,281.2,68.25,29.08,61.14,0.214,-0.303,0.532,0.081
71.0,65.89,281.5,67.99,28.55,65.03,0.011,-0.292,0.626,0.297
55.0,65.86,278.9,60.9,28.74,59.79,0.144,-0.212,-0.856,0.094
100.0,65.67,285.8,67.82,29.02,61.51,0.381,0.364,0.326,0.242
93.0,65.59,291.1,65.65,29.43,58.96,-0.278,0.466,-0.239,-0.129
53.0,65.55,294.7,64.63,28.96,61.86,0.654,0.594,-0.892,-0.396
51.0,65.42,276.4,61.81,29.06,56.67,-0.421,-0.024,-0.34,0.057
66.0,65.36,277.7,62.71,28.36,61.63,0.433,-0.206,0.226,-0.104
96.0,65.3,279.6,66.73,28.84,58.53,0.074,-0.322,0.7879999999999999,0.087
115.0,65.29,287.3,67.62,29.34,55.95,0.102,0.1119999999999999,0.061,-0.127
98.0,65.28,287.6,67.35,29.08,60.76,0.36,0.37,0.256,-0.0289999999999999
90.0,65.23,280.1,64.53,28.49,62.11,0.395,-0.2689999999999999,0.163,0.321
97.0,64.92,289.0,65.19,28.64,56.88,0.667,0.347,-0.136,-0.331
101.0,64.82,280.2,63.52,28.75,59.97,0.272,-0.143,-0.1889999999999999,-0.155
65.0,64.81,285.7,63.93,29.14,62.35,0.045,0.105,-0.999,0.254
77.0,64.67,295.2,70.8,29.69,61.44,0.1119999999999999,0.494,0.616,0.15
82.0,64.57,300.0,69.58,30.11,54.57,-0.631,0.305,0.419,0.205
92.0,64.54,288.1,67.17,29.47,55.13,-0.131,0.076,0.258,-0.062
90.0,64.39,287.9,68.15,29.39,62.21,-0.256,0.145,0.306,0.37
75.0,64.37,298.3,71.63,29.8,57.18,-0.192,0.565,0.309,-0.11
82.0,64.37,289.1,69.17,29.77,52.97,-0.3829999999999999,0.255,0.203,-0.011
99.0,64.35,271.9,63.02,28.28,63.28,0.407,-0.659,0.001,0.304
58.0,64.18,280.2,59.26,28.94,52.53,-0.524,0.04,-0.2019999999999999,-0.048
93.0,64.05,286.6,63.95,29.12,57.19,-0.207,0.206,0.287,0.017
54.0,63.95,287.7,64.0,29.08,61.73,-0.475,0.222,-0.372,0.1989999999999999
64.0,63.76,286.7,64.93,29.17,60.4,-0.296,0.192,0.484,0.183
88.0,63.65,292.5,65.03,29.22,59.03,0.018,0.3779999999999999,-0.13,-0.123
78.0,63.63,289.2,66.52,29.23,58.3,-0.079,0.2019999999999999,-0.036,-0.619
93.0,63.62,290.1,66.07,28.55,58.27,0.529,0.152,-0.061,-0.094
82.0,63.48,287.6,65.74,29.56,58.0,-0.2189999999999999,0.252,-0.39,0.148
104.0,63.41,289.7,64.85,28.64,61.4,0.485,0.257,-0.622,0.14
71.0,63.39,288.1,68.24,29.48,60.31,0.018,0.093,0.072,-0.1159999999999999
53.0,63.23,278.0,63.0,27.96,66.01,0.62,-0.44,-0.003,0.544
80.0,63.18,280.3,63.6,28.61,61.65,0.216,-0.149,-0.006,0.192
76.0,63.15,295.6,68.27,29.3,61.06,0.193,0.2689999999999999,0.135,-0.038
87.0,63.05,296.8,69.02,29.96,52.53,-0.063,0.511,-0.396,-0.376
113.0,62.84,293.5,64.83,28.6,62.32,-0.109,0.336,-0.131,0.4029999999999999
105.0,62.83,293.2,70.15,29.59,56.39,-0.353,0.29,0.469,0.081
80.0,62.53,280.2,61.32,28.01,65.38,0.5529999999999999,-0.181,-0.331,0.498
84.0,62.37,289.6,66.74,29.36,57.62,0.01,0.018,0.127,-0.0559999999999999
72.0,62.36,279.3,64.71,28.54,63.66,0.336,-0.4589999999999999,0.425,0.26
86.0,62.34,289.6,67.14,29.44,63.3,-0.174,0.068,0.272,0.353
71.0,62.24,282.7,61.43,28.14,63.26,0.2019999999999999,-0.173,-0.1,0.248
57.0,62.18,287.6,64.3,29.76,56.48,-0.945,0.115,-0.628,0.054
70.0,62.17,286.3,67.14,29.36,59.42,-0.482,0.146,0.728,0.276
92.0,62.14,288.8,66.73,29.26,54.84,0.14,0.079,0.081,-0.2769999999999999
76.0,62.04,294.5,68.11,28.82,60.86,-0.025,0.527,0.774,0.015
90.0,62.02,285.9,64.05,28.67,62.73,-0.006,0.086,0.369,0.205
57.0,61.85,298.7,64.51,29.56,53.91,0.06,0.489,-0.1369999999999999,0.139
54.0,61.76,299.9,70.15,29.75,57.66,-0.3879999999999999,0.737,0.482,-0.031
63.0,61.67,294.0,68.15,29.7,54.21,-0.021,0.387,0.3,0.17
72.0,61.59,287.0,64.43,28.99,54.66,-0.424,-0.113,0.612,-0.042
82.0,61.44,289.0,63.71,29.06,56.59,0.213,0.009,-0.289,0.03
104.0,61.43,306.9,68.8,29.48,54.97,0.203,0.4029999999999999,0.275,-0.578
63.0,61.24,291.9,63.65,29.27,56.22,-0.437,-0.081,0.173,0.157
86.0,61.13,289.4,69.38,29.37,57.81,0.273,0.03,0.2189999999999999,-0.154
69.0,61.06,306.8,69.62,29.18,58.7,-0.207,1.23,0.447,0.211
51.0,60.99,284.5,64.16,29.43,53.5,-0.485,-0.415,0.278,-0.168
59.0,60.99,294.7,63.23,28.93,56.04,0.299,-0.015,-0.262,-0.3379999999999999
87.0,60.93,295.3,66.8,29.52,58.27,-0.06,0.128,0.133,-0.152
77.0,60.89,287.2,63.13,28.61,57.93,0.244,-0.303,-0.138,-0.166
61.0,60.85,280.4,60.14,28.96,50.61,0.042,-0.51,-1.317,0.0069999999999999
84.0,60.81,285.6,66.39,29.58,57.23,-0.479,0.032,0.072,0.072
85.0,60.71,290.9,64.58,29.47,55.72,-0.245,-0.025,-0.089,0.1159999999999999
73.0,60.71,293.0,67.7,29.5,54.55,0.076,0.352,0.493,-0.1119999999999999
82.0,60.7,286.3,66.6,29.19,56.96,0.15,-0.069,0.159,-0.119
93.0,60.68,296.3,66.37,29.04,59.15,-0.31,0.321,0.634,0.126
54.0,60.66,289.6,62.96,28.7,60.0,-0.342,-0.292,0.159,0.408
71.0,60.57,291.4,66.18,29.29,57.49,-0.213,-0.07,0.154,0.0579999999999999
89.0,60.55,295.0,65.31,28.85,60.34,0.252,0.159,-0.092,0.191
85.0,60.54,279.7,62.09,28.34,58.79,0.491,-0.5379999999999999,-0.532,-0.073
63.0,60.36,289.8,67.42,29.17,56.07,0.185,0.009,-0.035,-0.12
85.0,60.32,286.2,61.93,28.67,60.36,0.153,0.008,-0.3939999999999999,0.012
88.0,60.29,302.2,68.72,29.8,54.76,-0.257,0.449,0.272,-0.1889999999999999
70.0,60.11,297.9,68.35,29.74,52.39,-0.211,0.268,0.601,-0.586
59.0,60.1,294.6,66.18,29.65,60.52,-0.556,0.152,-0.291,0.012
88.0,60.07,289.7,68.86,29.48,59.13,0.3289999999999999,0.2319999999999999,0.198,-0.25
69.0,59.78,291.8,64.36,29.18,56.59,0.06,-0.191,-0.105,0.003
81.0,59.57,285.1,65.66,29.13,57.14,0.057,-0.4429999999999999,0.257,0.104
55.0,59.47,282.3,65.36,29.18,57.86,-0.596,-0.492,0.64,0.0409999999999999
87.0,59.41,297.9,67.33,29.48,57.29,-0.286,0.4479999999999999,0.039,-0.009
89.0,59.36,292.4,65.26,29.06,59.74,0.186,-0.009,-0.121,-0.053
67.0,59.34,292.9,63.42,28.74,58.18,-0.027,0.04,0.159,-0.261
68.0,59.33,287.3,67.51,30.45,53.11,-0.237,-0.144,-0.226,-0.104
92.0,59.33,302.0,66.24,29.73,56.53,-0.377,0.529,0.021,-0.072
69.0,59.25,285.0,63.85,29.05,63.59,-0.416,-0.054,-0.157,0.134
85.0,59.22,297.7,69.75,30.33,51.7,-0.947,0.28,0.532,-0.28
73.0,59.21,286.3,62.72,29.22,55.29,-0.057,-0.357,-0.286,-0.062
83.0,59.19,287.5,65.64,29.25,56.49,0.156,-0.23,-0.196,-0.063
86.0,59.03,280.3,64.86,28.48,60.29,0.478,-0.349,-0.129,0.046
59.0,58.97,286.6,64.33,28.84,58.47,0.562,-0.253,-0.478,-0.231
89.0,58.84,302.2,67.17,29.02,57.79,0.208,0.325,-0.187,0.024
80.0,58.69,301.6,69.26,29.16,62.21,0.153,0.529,0.308,0.387
93.0,58.69,292.6,65.67,28.66,62.73,0.3429999999999999,0.032,0.176,0.31
99.0,58.65,288.0,63.02,28.54,57.21,0.5920000000000001,-0.126,-0.257,0.027
100.0,58.64,284.3,62.96,28.54,61.25,0.2769999999999999,-0.151,-0.105,-0.11
75.0,58.6,302.6,66.98,28.81,55.53,0.445,0.542,0.139,-0.033
72.0,58.46,292.0,66.01,29.37,56.97,0.045,0.1119999999999999,-0.3429999999999999,-0.272
89.0,58.41,307.4,68.66,29.64,58.37,-0.27,0.603,0.426,-0.1989999999999999
61.0,58.4,296.9,70.4,30.18,53.54,-0.3979999999999999,-0.049,0.492,0.017
91.0,58.4,292.1,66.48,29.59,60.57,-0.336,0.003,0.073,0.1159999999999999
85.0,58.34,288.8,59.5,28.34,59.34,0.154,-0.127,-0.606,-0.042
80.0,58.14,295.4,63.52,27.82,63.93,0.758,0.402,0.145,0.264
62.0,58.06,294.6,63.08,29.66,55.1,-0.352,0.085,-0.254,-0.54
66.0,58.02,280.1,54.23,27.86,61.46,0.462,-1.043,-1.4240000000000002,0.412
83.0,57.95,285.2,65.54,29.43,57.96,-0.129,-0.115,-0.031,0.036
65.0,57.9,303.9,67.92,29.58,58.1,-0.1969999999999999,0.6779999999999999,0.409,0.237
86.0,57.88,304.7,67.83,28.92,57.63,-0.094,0.625,0.2339999999999999,0.009
71.0,57.8,294.4,63.27,28.94,58.24,0.208,-0.07,-0.192,-0.062
79.0,57.79,290.3,60.96,27.99,61.05,0.52,-0.287,-0.361,0.026
89.0,57.74,300.5,69.22,29.75,58.17,-0.193,0.356,-0.009,0.157
83.0,57.55,294.8,63.96,29.11,56.26,-0.306,0.013,-0.272,0.188
87.0,57.48,294.7,66.2,29.9,55.77,-0.432,0.062,0.2789999999999999,0.213
73.0,57.41,279.3,62.4,28.81,60.53,-0.004,-0.629,-0.226,0.407
91.0,57.32,304.8,65.32,28.9,61.44,0.142,0.532,-0.497,0.286
83.0,57.3,293.1,66.24,29.3,58.33,0.015,0.073,0.127,-0.417
83.0,57.21,296.2,65.82,29.0,59.26,-0.154,0.149,0.06,-0.123
87.0,57.17,313.6,67.82,28.49,59.58,0.3279999999999999,1.117,0.477,0.07
61.0,57.13,294.8,62.75,29.16,55.26,0.291,0.034,-0.787,-0.311
74.0,56.95,295.5,66.11,29.11,58.08,-0.291,0.225,0.201,0.023
72.0,56.89,290.2,66.75,29.49,52.03,-0.061,-0.013,0.21,-0.41
73.0,56.86,296.7,68.73,29.34,59.64,-0.1369999999999999,0.304,0.652,0.2239999999999999
72.0,56.73,289.8,62.73,29.01,56.52,-0.093,0.023,-0.01,0.209
81.0,56.69,282.9,64.61,28.95,64.15,0.148,-0.665,0.465,0.429
95.0,56.69,306.1,68.74,29.26,60.16,-0.13,0.547,0.4629999999999999,0.088
92.0,56.68,298.4,67.67,29.08,56.95,0.175,0.3289999999999999,0.49,-0.1
81.0,56.58,296.5,65.26,29.25,54.05,-0.165,-0.038,0.133,-0.142
97.0,56.57,304.4,69.71,29.68,58.97,0.098,0.478,0.15,-0.123
55.0,56.4,288.8,62.73,28.44,60.16,0.462,-0.385,0.08,0.457
72.0,56.31,291.7,62.88,28.88,56.4,-0.02,0.025,0.143,-0.08
105.0,55.96,297.4,64.65,28.4,63.97,0.28,0.183,0.158,0.406
81.0,55.81,289.5,62.48,28.83,58.46,-0.069,-0.315,0.236,-0.175
79.0,55.55,304.6,70.76,29.5,59.5,-0.168,0.522,1.491,0.049
57.0,55.53,289.3,63.13,28.29,60.55,0.4039999999999999,-0.8190000000000001,-0.075,0.046
93.0,55.42,291.7,63.11,28.06,64.3,0.581,-0.363,-0.382,0.3979999999999999
67.0,55.28,281.2,63.58,29.14,59.56,-0.046,-0.716,0.285,0.156
93.0,55.23,291.3,64.48,28.88,56.24,0.46,-0.3429999999999999,0.37,-0.105
63.0,55.14,295.6,66.76,29.28,59.05,-0.105,0.326,0.603,0.032
82.0,55.14,298.5,67.66,29.31,58.37,0.157,-0.213,0.297,0.057
72.0,55.11,310.6,69.16,29.78,52.74,-0.367,0.983,0.3929999999999999,-0.017
51.0,55.06,282.2,63.73,30.41,50.75,-0.491,-0.631,-0.46,-0.368
97.0,55.01,299.2,64.83,28.88,60.1,0.5920000000000001,-0.344,0.2,0.127
75.0,54.82,294.8,66.05,28.21,64.32,0.565,-0.145,0.726,0.218
91.0,54.8,298.2,64.58,29.17,57.75,-0.036,0.496,0.188,-0.085
80.0,54.55,294.7,66.17,29.5,55.79,0.008,-0.222,-0.1119999999999999,-0.135
97.0,54.27,287.6,65.77,28.52,59.86,0.386,-0.518,0.1989999999999999,0.2269999999999999
99.0,53.94,301.3,65.63,29.28,55.56,-0.185,0.0289999999999999,0.494,-0.017
69.0,53.91,303.3,69.32,29.57,53.48,-0.213,0.401,0.685,-0.242
65.0,53.64,284.7,58.64,28.3,56.93,-0.019,-0.354,-0.3929999999999999,0.067
66.0,52.93,292.8,61.2,28.82,54.66,0.405,0.065,-0.48,-0.0139999999999999
91.0,52.91,299.0,66.29,29.18,54.87,0.134,0.0819999999999999,0.065,0.0409999999999999
105.0,52.91,288.0,64.81,29.15,60.84,-0.078,-0.5,0.544,-0.019
79.0,52.77,298.9,64.44,29.47,50.0,-0.223,-0.321,0.122,-0.278
91.0,52.6,303.4,68.01,29.08,60.88,0.133,0.131,0.0819999999999999,0.327
95.0,52.48,312.2,65.09,29.2,57.96,-0.108,0.455,-0.174,-0.054
58.0,52.45,297.5,68.11,29.96,54.84,-0.266,-0.067,0.0,-0.376
83.0,52.18,287.0,62.1,28.81,59.55,0.203,-0.764,0.08,0.113
94.0,52.02,288.2,62.0,28.5,59.1,0.353,-0.514,-0.2269999999999999,-0.012
77.0,51.68,314.5,65.17,28.84,56.68,-0.153,0.633,-0.208,0.209
79.0,50.98,306.9,67.17,29.14,60.88,-0.273,0.427,0.278,0.004
76.0,50.46,304.2,67.23,28.06,61.92,1.13,0.186,0.426,0.375
85.0,49.12,295.3,64.54,28.9,57.25,0.176,-0.637,0.114,0.374
85.0,48.31,301.3,63.96,28.78,57.71,0.243,-0.141,0.58,0.21
75.0,45.56,309.3,63.41,28.63,52.83,0.301,0.038,-0.295,-0.158
71.0,43.02,288.9,54.46,28.61,49.14,0.131,-1.616,-1.68,-0.044
56.0,76.88,281.6,71.07,29.94,58.33,-0.255,0.324,0.5720000000000001,-0.037
62.0,74.5,270.0,64.66,28.74,63.96,-0.102,-0.0409999999999999,-0.0279999999999999,0.248
56.0,71.89,286.3,69.64,29.63,55.88,-0.262,0.384,0.298,-0.34
61.0,71.7,271.6,62.57,28.82,61.8,0.231,-0.486,-0.2239999999999999,0.166
95.0,71.58,277.1,68.89,28.54,60.9,0.239,0.019,0.561,-0.042
62.0,71.41,278.3,66.57,28.73,61.5,-0.146,-0.129,-0.114,0.406
90.0,71.24,276.6,67.44,28.98,58.93,0.348,-0.084,0.017,-0.085
90.0,71.21,282.6,68.58,28.78,60.98,0.04,0.24,0.605,0.236
79.0,70.45,277.2,65.96,28.46,64.46,0.25,0.073,-0.052,0.166
96.0,70.24,276.4,65.47,28.39,62.63,0.5820000000000001,-0.168,0.136,0.28
81.0,70.05,282.6,65.24,28.51,60.25,0.16,0.071,0.246,0.102
63.0,69.91,296.4,73.52,29.87,62.24,0.436,0.4479999999999999,1.244,0.0819999999999999
57.0,69.51,275.8,62.79,29.25,56.9,-0.594,-0.2289999999999999,-0.759,0.018
102.0,69.44,279.8,64.85,28.71,62.6,0.2789999999999999,-0.0409999999999999,-0.12,-0.03
97.0,69.31,276.5,63.2,28.57,60.23,0.1159999999999999,-0.103,-0.2,-0.052
99.0,69.09,283.7,68.27,29.6,59.75,-0.065,0.204,0.181,-0.25
71.0,69.08,281.9,69.79,29.39,62.93,-0.024,0.064,1.081,0.513
58.0,68.98,296.6,72.53,29.46,62.55,0.322,0.662,0.144,0.0579999999999999
90.0,68.7,286.0,68.6,29.81,52.06,-0.493,0.37,-0.139,-0.45
95.0,68.63,289.5,68.99,29.65,58.66,-0.2189999999999999,0.563,0.005,-0.216
96.0,68.5,281.8,64.58,29.0,62.09,0.125,-0.074,-0.054,0.373
78.0,68.32,285.0,67.64,29.65,57.31,-0.775,0.0559999999999999,0.358,0.006
108.0,67.91,273.1,65.54,28.68,64.81,0.527,-0.299,-0.188,0.131
93.0,67.91,278.1,64.17,29.01,58.71,-0.222,0.067,0.025,-0.248
103.0,67.87,280.4,67.85,28.96,64.09,0.06,0.087,0.06,0.248
81.0,67.85,289.4,67.81,29.35,64.38,-0.6459999999999999,0.225,0.5820000000000001,0.539
76.0,67.81,286.7,69.03,29.6,55.28,-0.7,0.242,0.3989999999999999,0.281
96.0,67.76,284.4,70.83,29.56,59.92,-0.021,0.098,0.622,0.107
86.0,67.66,275.5,62.26,28.51,60.68,0.081,-0.119,-0.503,0.0289999999999999
84.0,67.52,288.1,68.32,29.21,63.47,-0.184,0.3329999999999999,0.276,-0.175
62.0,67.49,271.0,63.22,28.95,61.98,0.201,-0.303,-0.486,0.03
83.0,67.46,273.5,66.39,29.28,61.72,-0.0279999999999999,-0.406,0.077,0.27
88.0,67.1,293.8,73.23,30.22,58.02,-0.03,0.467,0.285,-0.345
104.0,66.85,287.8,66.24,28.72,62.66,0.24,0.316,0.141,-0.068
91.0,66.8,277.9,65.45,28.68,62.85,0.508,-0.294,-0.181,0.156
76.0,66.67,290.4,67.52,29.4,54.87,-0.067,0.284,0.266,-0.3929999999999999
80.0,66.6,290.2,67.26,29.53,55.2,-0.061,0.331,-0.171,-0.017
79.0,66.32,278.5,66.81,29.23,61.52,-0.102,-0.06,-0.35,0.128
83.0,65.91,271.9,65.26,28.84,64.17,0.311,-0.635,0.114,0.098
54.0,65.76,279.8,66.11,29.8,54.43,-0.732,0.079,0.347,0.187
97.0,65.75,285.2,68.61,29.41,59.31,-0.045,0.13,0.192,0.159
79.0,65.73,283.7,64.72,29.23,64.42,-0.421,0.104,-0.326,0.055
96.0,65.7,284.6,67.88,28.71,60.0,0.364,-0.01,0.187,0.045
106.0,65.69,285.3,67.51,29.03,59.19,-0.0069999999999999,0.276,0.196,-0.152
69.0,65.6,287.5,67.35,28.94,64.92,0.084,-0.145,-0.303,0.596
90.0,65.51,289.5,64.94,28.66,61.27,0.039,0.379,0.013,-0.025
65.0,65.46,298.7,69.15,29.26,57.34,-0.012,0.027,0.3279999999999999,-0.0559999999999999
95.0,65.43,288.2,66.55,29.15,58.39,0.235,0.088,-0.183,0.044
95.0,65.25,294.5,69.2,28.79,61.92,0.076,0.496,0.637,0.254
93.0,65.09,288.1,68.7,29.64,54.04,0.127,-0.016,0.268,-0.1
51.0,64.94,294.7,67.43,29.67,57.19,-0.347,0.1889999999999999,-0.335,0.1159999999999999
87.0,64.85,306.1,67.53,29.49,58.25,-0.07,0.436,0.389,0.263
89.0,64.53,279.2,67.84,29.35,60.37,-0.065,-0.299,0.013,0.377
87.0,64.39,297.1,67.06,29.01,57.43,0.579,0.3429999999999999,-0.2689999999999999,-0.191
90.0,64.37,287.9,66.67,29.09,59.63,0.236,0.322,-0.176,0.03
75.0,64.3,295.1,66.51,29.7,57.24,-0.516,0.6759999999999999,-0.547,-0.144
84.0,64.22,283.0,65.67,28.95,59.92,-0.176,-0.249,0.132,0.295
87.0,64.16,297.8,72.36,29.77,56.13,0.0139999999999999,0.392,0.991,-0.182
97.0,64.16,280.6,67.98,28.93,57.42,0.358,-0.216,0.243,-0.0289999999999999
