Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average SG Putts,SG:OTT,SG:APR,SG:ARG
71.0,63.45,295.4,68.17,29.41,59.83,0.449,0.011,-0.347,-0.019
90.0,63.33,302.9,68.81,29.15,56.28,0.238,0.41,0.012,0.042
71.0,63.3,297.1,64.24,29.58,58.25,-0.0579999999999999,0.256,-0.009,-0.178
88.0,63.27,288.0,66.81,28.85,63.6,0.348,-0.1989999999999999,0.216,0.211
73.0,63.22,299.0,65.9,28.83,59.15,0.282,-0.045,0.024,0.209
72.0,63.2,286.3,63.73,29.21,58.56,0.168,-0.165,-0.6,-0.237
74.0,63.14,304.3,67.84,29.07,60.58,0.133,0.138,0.586,0.109
97.0,62.99,303.3,70.19,29.84,57.52,-0.385,0.501,0.275,-0.198
50.0,62.99,285.3,62.44,29.61,54.02,-0.75,-0.534,0.036,-0.0139999999999999
89.0,62.93,295.4,65.16,28.74,57.6,0.077,0.138,0.086,-0.092
82.0,62.92,291.1,65.63,28.96,56.97,-0.01,0.206,-0.083,-0.152
75.0,62.82,302.0,69.29,29.21,60.8,0.132,0.1939999999999999,0.727,0.143
84.0,62.79,293.1,65.04,28.63,60.08,0.478,-0.145,-0.026,0.318
64.0,62.76,279.5,66.48,28.97,61.43,0.203,-0.345,0.072,0.3939999999999999
88.0,62.65,290.6,65.05,28.56,60.81,0.156,0.005,-0.155,0.051
104.0,62.59,300.9,69.33,29.5,60.87,0.2189999999999999,0.324,0.163,0.095
78.0,62.51,304.6,70.66,30.15,54.85,-0.285,0.3,0.639,0.125
101.0,62.43,291.4,63.62,28.45,61.41,-0.162,0.018,0.297,-0.079
95.0,62.34,293.7,67.93,28.47,66.1,0.6920000000000001,-0.1159999999999999,0.486,0.37
81.0,62.24,289.8,62.94,28.78,59.96,0.053,-0.2769999999999999,-0.0559999999999999,-0.0579999999999999
93.0,62.23,305.7,69.65,29.18,59.84,0.346,0.586,0.556,0.07
71.0,62.18,289.4,60.43,28.63,59.83,0.115,-0.271,-0.5379999999999999,-0.182
91.0,62.05,292.3,67.85,29.07,61.36,0.059,0.217,-0.152,0.2339999999999999
102.0,62.03,292.6,65.65,29.1,54.79,0.049,-0.265,-0.27,-0.175
58.0,61.84,298.8,66.46,29.2,62.58,0.335,0.148,0.2019999999999999,0.252
67.0,61.73,299.2,64.91,28.97,61.74,0.758,0.208,0.107,-0.0289999999999999
87.0,61.58,303.1,70.69,29.8,57.58,-0.182,0.622,0.509,0.146
81.0,61.55,299.8,70.47,29.09,61.63,-0.034,0.271,0.409,0.184
73.0,61.53,300.7,68.31,29.07,57.53,0.135,0.381,-0.373,-0.005
77.0,61.27,308.6,66.52,29.64,56.28,-0.344,0.608,0.296,-0.236
64.0,61.2,300.7,68.65,30.04,53.48,-0.286,0.331,0.245,-0.052
97.0,61.14,303.5,65.65,29.1,57.22,0.561,-0.039,-0.3229999999999999,0.034
93.0,61.11,285.8,63.55,28.7,58.56,0.427,-0.748,0.03,-0.146
94.0,60.94,292.7,67.65,29.48,61.83,-0.312,0.049,0.011,0.017
55.0,60.81,295.4,64.26,28.58,60.12,0.367,-0.113,-0.032,0.239
108.0,60.68,290.8,63.78,29.0,57.23,-0.168,-0.0139999999999999,-0.2,0.291
51.0,60.58,293.9,68.2,29.32,60.59,0.0819999999999999,0.111,0.036,0.08
104.0,60.47,300.0,67.95,28.92,60.0,0.685,0.281,-0.395,0.013
63.0,60.47,280.8,60.2,29.1,53.32,0.11,-1.069,-0.541,0.051
74.0,60.47,310.3,69.24,30.36,52.56,-0.5760000000000001,0.557,0.243,-0.195
77.0,60.44,293.5,68.04,29.25,53.9,0.355,-0.258,-0.368,-0.052
97.0,60.42,293.8,70.47,29.36,61.52,0.052,-0.146,0.38,0.187
67.0,60.3,293.1,62.02,29.1,56.83,0.244,-0.424,-0.563,0.196
72.0,60.25,299.0,64.87,29.44,54.88,-0.026,-0.054,-0.424,-0.309
86.0,60.19,307.9,67.99,29.31,61.16,-0.285,0.475,0.4479999999999999,0.1669999999999999
93.0,60.17,298.5,66.67,28.94,59.07,0.126,-0.006,0.211,0.292
80.0,60.14,302.8,65.02,28.73,55.79,0.094,0.35,-0.081,-0.138
82.0,60.09,294.0,64.7,28.99,58.35,0.1989999999999999,0.07,-0.285,0.12
67.0,60.09,302.7,63.84,28.97,57.56,-0.207,0.211,-0.073,-0.1639999999999999
103.0,60.07,300.0,67.68,28.99,56.6,0.208,0.146,0.606,-0.102
80.0,60.04,294.9,66.01,29.37,54.19,-0.177,-0.068,0.353,-0.122
84.0,59.89,289.3,67.59,29.28,62.86,0.2,-0.306,0.091,0.1939999999999999
96.0,59.77,304.9,65.59,29.18,57.81,0.196,0.24,0.235,-0.027
77.0,59.46,314.0,70.57,28.47,62.5,0.385,0.919,0.8290000000000001,0.238
70.0,59.38,304.5,66.49,29.02,60.16,-0.034,0.3329999999999999,-0.386,0.192
68.0,59.35,303.6,67.4,28.49,64.16,0.266,0.061,0.883,0.385
70.0,59.24,284.0,63.02,29.09,54.93,0.025,-0.696,-0.17,0.139
71.0,59.2,308.9,70.12,29.14,57.18,-0.151,0.8170000000000001,0.047,0.176
69.0,59.11,305.2,65.61,28.92,55.38,-0.528,0.235,0.236,-0.174
91.0,59.02,308.2,67.79,29.56,58.14,-0.024,0.204,-0.076,0.021
84.0,58.99,302.4,63.32,28.76,57.86,0.222,-0.2189999999999999,-0.297,0.111
56.0,58.9,282.8,56.94,28.31,52.85,0.79,-0.69,-1.192,-0.174
81.0,58.76,299.2,67.11,29.61,56.76,-0.144,0.045,-0.166,0.175
70.0,58.59,291.7,68.19,29.5,58.31,-0.106,-0.542,0.043,0.3389999999999999
99.0,58.59,312.6,69.42,29.65,56.55,-0.504,0.706,-0.128,-0.092
79.0,58.51,292.2,60.39,28.52,57.74,0.119,-0.248,-0.8109999999999999,-0.186
91.0,58.41,311.8,68.77,28.33,62.47,0.272,0.408,0.8440000000000001,0.311
67.0,58.38,295.4,70.31,29.48,56.44,0.401,-0.135,0.078,-0.296
87.0,58.34,299.5,66.53,29.19,56.22,0.026,0.254,0.216,-0.071
75.0,58.32,310.0,65.28,28.24,62.35,0.77,0.176,-0.14,0.479
90.0,58.27,313.1,68.21,29.33,56.64,0.001,0.78,0.005,-0.231
99.0,58.06,309.5,70.37,29.59,55.11,0.022,0.36,0.257,-0.1009999999999999
92.0,57.91,303.6,65.17,29.43,58.6,-0.059,0.294,-0.081,-0.124
86.0,57.67,305.5,67.92,29.95,54.55,0.13,0.073,-0.262,-0.091
87.0,57.6,298.1,68.58,29.53,55.69,-0.345,0.057,0.698,0.055
56.0,57.5,301.4,63.46,29.12,57.6,-0.198,0.134,-1.039,-0.027
78.0,57.31,298.9,63.58,28.94,59.53,0.031,-0.322,0.075,0.053
76.0,57.27,296.2,64.79,29.23,60.34,-0.059,-0.177,-0.052,0.368
77.0,57.13,306.1,65.26,29.01,57.14,-0.207,0.565,0.159,0.032
85.0,57.03,298.4,63.18,28.36,61.12,0.115,-0.148,0.034,0.218
101.0,56.98,290.3,65.23,28.98,58.08,-0.01,-0.493,-0.008,0.187
92.0,56.92,303.2,64.65,28.64,61.07,0.01,-0.1009999999999999,-0.04,0.519
87.0,56.86,290.9,62.99,28.07,61.3,0.619,-0.372,-0.257,0.255
64.0,56.85,313.4,68.28,28.76,63.28,0.168,0.6579999999999999,0.2319999999999999,0.162
89.0,56.72,293.1,63.2,29.24,52.4,-0.235,-0.488,-0.094,-0.225
96.0,56.57,299.7,65.62,29.14,60.86,-0.07,-0.008,0.373,-0.025
76.0,56.52,299.6,67.49,29.27,58.43,-0.034,-0.093,0.22,0.013
80.0,56.37,307.9,65.28,29.2,56.84,-0.569,0.21,0.331,-0.186
94.0,56.33,307.5,67.96,29.26,55.68,0.2,0.17,0.141,-0.1669999999999999
